hello! These are the shared franking evaluation results.
data taken from 1000 iterations for each parameter setting. Times are reported in ns.
msg_len, num_servers, send_mean, send_stddev, pis_mean, pis_stddev, p1_mean, p1_stddev, read_mean, read_stddev, verify_mean, verify_stddev
380,9,46866.000000,83567.647646,1910.000000,305.398779,17595.000000,4260.336894,54299.000000,8170.251998,43479.000000,5913.305712,
380,10,45982.000000,2267.428435,1853.000000,133.967298,17057.000000,982.087675,57123.000000,4313.520541,44278.000000,3004.676168,
400,2,25843.000000,5041.552395,2091.000000,994.241765,15973.000000,3729.237949,23639.000000,4627.255406,29683.000000,6063.546518,
400,3,28044.000000,3431.794860,1972.000000,479.814487,15869.000000,2021.158928,27579.000000,5192.874843,31217.000000,5951.814228,
400,4,31474.000000,8768.358575,1971.000000,1020.871063,16649.000000,5650.788142,32781.000000,7332.099104,33448.000000,4458.039638,
400,5,33171.000000,2235.908239,1913.000000,370.978075,16368.000000,4099.824386,36283.000000,4980.075558,34653.000000,1897.192990,
400,6,35485.000000,1627.516742,1883.000000,218.017701,16231.000000,1111.534484,40269.000000,1853.806742,36306.000000,1920.179149,
400,7,38104.000000,1280.041759,1885.000000,164.016743,16470.000000,1209.430891,44266.000000,1763.529707,38255.000000,1714.676816,
400,8,40899.000000,1597.974362,1899.000000,449.400455,16730.000000,1738.238823,48822.000000,1902.744395,40044.000000,1992.073336,
400,9,44943.000000,8838.005284,1920.000000,548.324985,17426.000000,3087.469378,54258.000000,8271.626197,43312.000000,11236.652893,
400,10,46418.000000,2510.481372,1883.000000,144.795124,16967.000000,1076.994681,57661.000000,3773.354942,44041.000000,5082.303533,
420,2,25226.000000,1807.034228,1988.000000,280.195698,15482.000000,1198.298422,23093.000000,1915.869753,28705.000000,1766.719539,
420,3,27923.000000,1865.618993,1912.000000,154.264500,15662.000000,931.977929,27306.000000,1596.604224,30638.000000,1538.979540,
420,4,30537.000000,1724.775411,1887.000000,227.824687,15859.000000,875.783785,31759.000000,2322.567636,32598.000000,1691.424698,
420,5,33200.000000,1718.699993,1878.000000,239.913005,16050.000000,808.646533,36029.000000,2028.282645,34365.000000,1733.096393,
420,6,36049.000000,2030.115331,1854.000000,95.576430,16355.000000,1930.333216,40549.000000,4103.647317,36307.000000,1651.779681,
420,7,39081.000000,5142.762892,1861.000000,142.079390,16558.000000,1627.999498,45098.000000,4898.984256,38469.000000,3042.551266,
420,8,42116.000000,7941.881186,1873.000000,197.040031,17035.000000,5162.156803,49780.000000,3356.734431,40681.000000,4979.311425,
420,9,44233.000000,2105.252815,1880.000000,160.880984,16870.000000,1396.931065,53662.000000,2515.916537,42113.000000,2214.232646,
420,10,47069.000000,3080.388044,1874.000000,186.298438,17148.000000,1989.230831,58151.000000,4056.490938,44009.000000,3472.171293,
440,2,25472.000000,1659.239159,2005.000000,250.651605,15503.000000,1362.095634,23192.000000,1178.720217,28854.000000,1459.591392,
440,3,28518.000000,2960.041420,1930.000000,189.436311,15964.000000,2535.669630,28154.000000,4857.185827,31514.000000,4184.626376,
440,4,30956.000000,1691.045514,1930.000000,853.897456,15873.000000,1823.526354,32206.000000,2041.699131,32928.000000,1821.991943,
440,5,33812.000000,1873.409529,1890.000000,131.815621,15920.000000,618.405391,36402.000000,1485.906629,34651.000000,1635.274857,
440,6,37172.000000,6727.799408,1927.000000,843.859074,16487.000000,2201.044979,41387.000000,3530.695369,36853.000000,2928.006689,
440,7,39715.000000,2192.978764,1905.000000,481.925754,16706.000000,2856.524516,45731.000000,2592.775242,38921.000000,4233.758265,
